English,Spanish
mum,mamá
honest,honesto
often,con frecuencia
starting,comenzando
calls,llamadas
y,Y
spent,gastó
third,tercera
english,inglés
visit,visitar
mama,mamá
judge,juez
window,ventana
hungry,hambriento
dare,atrevimiento
relationship,relación
moved,movido
prove,demostrar
private,privado
wall,pared
seat,asiento
position,posición
lieutenant,teniente
realize,darse cuenta
lt,teniente
especially,especialmente
machine,máquina
walking,caminando
art,Arte
pleasure,Placer
